"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)",lucid_state,"If so, describe when and how you realized you were dreaming",cue_notice,"If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.,"While dreaming, I often asked myself whether I was dreaming.","While dreaming, I was aware of the fact that other dream characters in my dream were not real.",You feel more restless than usual,You woke up more than usual during last night,Waking up in the morning was more difficult than usual,It took longer than usual to wake up,You felt more tired than usual when waking up,pid,condition,night_number,rem_minutes,rem_episode_count,induction_highest_volume,rem_motion_avg,train_cap_reached_count,total_trains_delivered,device_time_start,motion_80pct_cutoff_first_4h
"Nothing, felt awake much of the night",0,,0,,,No,0,0,0,0,0,0,4,4,0,0,2,899352433976,0,1,37,4,,0.8955621408816798,0,0,2026-06-27T03:02:20.442Z,1.1558645245079986
I don't remember any dreams from last night.,0,,0,,,,0,0,0,0,0,0,1,1,0,0,0,439442713976,4,2,35,7,0.08,0.20369706925743822,1,5,2026-06-27T03:21:41.731Z,0.14603527428781934
Interrupted dreams towards the end ,0,,0,,,No,0,0,0,0,0,0,2,4,2,2,3,839812403536,1,2,26,12,0,1.4967893018232759,1,5,2026-06-27T04:16:15.916Z,1.2149166121512491
I was somewhere cold on a feild trip sorta. My necklace kept touching my chest and neck and making it cold. ,0,,0,,,No,1,1,1,1,1,1,2,3,2,1,1,869822633666,1,4,24,7,1,0.3553861909189098,1,5,2026-06-27T04:46:27.737Z,0.22909354395186957
I don't remember any from last night,0,,0,,,No,0,0,0,0,0,0,1,3,1,0,0,449582833316,4,2,45,10,1,3.17304148816203,1,5,2026-06-27T07:47:44.157Z,3.2122119704626697
I remember a willow tree,0,,0,,,,2,2,1,0,0,0,0,2,2,4,3,689222633176,0,1,40,13,,1.9006109929566652,0,0,2026-06-27T06:54:55.088Z,1.8516560821011796
Being with extended family ,0,,1,Beeping ,,Anxious ,1,1,1,1,1,1,5,4,3,3,5,989992943266,1,3,123,9,1,1.1262758467543401,1,5,2026-06-27T02:41:46.594Z,1.554506092936081
I remember some details about my dream.,0,,0,,,My dream was a bit predictable in that I was expecting something to happen and it did eventually ,1,1,1,1,1,1,2,1,1,1,1,719602313796,6,5,9,5,0,2.017333828383983,0,2,2026-06-27T10:00:50.295Z,1.828381968624678
I woke up a lot and didn't dream.,0,,0,,,No,0,0,0,0,0,0,5,5,0,0,3,609382353906,0,1,37,2,,1.2089135779444857,0,0,2026-06-28T04:31:42.779Z,1.720763047930391
"Being at a restaurant with my husband's grandparents.  I was going to take a picture of his grandfather and send it to my husband when I remembered he had already passed away, then I woke up.",1,When I realized that someone in my dream was really dead,0,,I think it was spontaneous and a result of knowing the true situation ,I keep waking up after every dream so I am not remembering all of them,5,4,5,1,1,3,1,3,1,1,4,439442713976,1,3,72,12,1,1.1531577219842497,1,5,2026-06-28T04:03:19.428Z,1.2955142734467113
Srx  party ,1,Heard sound,1,Didnt encorporate,Heard sound realized lucid,Weird sound c like rusting on phone woke mecup,3,3,2,4,3,3,2,4,4,3,3,139662433656,6,2,3,1,,5.942307551200581,0,1,2026-06-28T08:18:08.054Z,0.20297463583093414
I woke for a bit during the night and read and was able to fall back to sleep. I don't remember dreams today.,0,,0,,,,0,0,0,0,0,0,4,3,2,2,3,909232733626,0,1,68,13,,0.3923863291866479,0,0,2026-06-28T03:14:46.204Z,0.43380234496632825
Didn't dream last night,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,449582833316,3,3,13,4,0.1,2.667643476308736,0,2,2026-06-28T05:59:37.617Z,2.716505692969616
Nothing ,0,,0,,,No,0,0,0,0,0,0,1,1,1,2,1,299542783686,1,2,8,1,0,2.1593185654675704,0,1,2026-06-28T08:55:00.422Z,0.735814624492851
Very little maybe one/two image from a dream,0,,0,,,No,0,0,0,0,0,0,2,1,2,1,1,839812403536,0,1,99,53,,1.527753176618979,0,0,2026-06-28T06:48:15.378Z,1.4006215549924987
"I remember my thoughts and the story of the dream, but no sensations or feelings.",0,,0,,,No,1,1,1,1,1,1,3,1,2,2,3,719602313796,0,1,20,18,,1.5878010419220365,0,0,2026-06-28T09:14:33.361Z,1.5491696552475052
Nothing ,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,649352693886,0,1,92,7,,0.48669655029820286,0,0,2026-06-28T06:43:41.270Z,0.545636034116103
Nothing,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,849612183766,0,1,18,5,,0.15788305728216373,0,0,2026-06-29T05:07:26.896Z,0.13992830327284345
Nothing ,0,,0,,,No,0,0,0,0,0,0,2,3,2,2,2,299542783686,5,3,12,3,0.01,0.4908554104074359,0,2,2026-06-29T04:18:25.283Z,0.11196795296257851
Thoughts,1,Part way through.  Realized it wasn't anything that would happen,1,A sound ,Something else,Confusion ,4,4,4,4,2,4,4,4,1,2,1,579562183996,6,7,289,15,0,1.386538503075788,1,5,2026-06-29T00:45:44.141Z,1.144603026150226
Beep kept me u fields buying a Hampton.  Medsy place thing to climes up make up purchase,1,I just did,1,Woke mevup.  Couldnt incorporated in dream ,"Spontaneous 
",Felt body buzzing during beeps.  I counted the berps,4,4,3,4,4,3,3,4,3,3,3,139662433656,1,3,125,34,1,0.2194080569985181,1,5,2026-06-29T03:09:03.069Z,0.20898798502780092
I woke up a lot throughout the night. No dreams. ,0,,1,"Lesso in a dream and moreso as I tossed and turned, I heard a bell. ",,no,0,0,0,0,0,0,4,4,3,4,4,389132113316,0,1,27,1,,0.0910100494848507,0,0,2026-06-29T06:15:19.126Z,0.09101004948483973
"The room temperature was warm, and I woke early with a headache. But I fell asleep rather quickly. I remember dreaming was like an extension of my day. ",0,,0,,,"No, I have been under a great deal of stress at work and we're getting ready to list or house. Unfortunately,  I didn't dream a much last night. ",2,3,3,3,3,3,2,1,2,1,3,999252563296,3,2,18,3,1,0.10881170513879096,1,5,2026-06-30T03:04:41.569Z,0.10860503008653187
People,1,It was a repeat of the evening ,1,Echo ,Cue,No,3,3,4,2,2,4,4,5,3,1,2,579562183996,1,8,4,1,0,1.2928555513618096,0,1,2026-06-30T04:26:28.273Z,0.1373071837256814
Nothing,0,,0,,,No,0,0,0,0,0,0,4,0,4,3,4,929272753896,4,2,22,18,0.1,2.878778131151615,0,4,2026-06-30T02:37:56.056Z,2.8843789489705416
Don't remember ,0,,0,,,No,3,3,3,3,3,3,0,0,0,0,0,379172703886,3,5,107,39,0.85,2.6176025724288863,1,5,2026-06-30T01:28:33.990Z,2.6825414194175337
Nothing ,0,,0,,,No,0,0,0,0,0,0,3,3,3,3,2,609382353906,4,2,31,4,1,0.41766609047784375,1,5,2026-06-30T03:11:16.573Z,0.7650455819802524
I had a dream that I stayed at a friend's house. I picked my nose and what came out was like a giant piece of artwork. Very intricate with spaceships and other designs. I felt a bit embarrassed but also proud about it. I remember the feeling of pulling it from my nose been thinking about how it showed all of my sinuses. I also remember going to a zoo near a beach. I remember helping some kids build some things at the zoo. They were there as part of some class. I also remember going to a live music bar.,0,,0,,,I woke up to pee and heard some cues. I didn't hear that when I was dreaming,1,1,1,1,1,1,3,2,3,3,4,909232733626,3,2,5,1,0.65,0.008612990896963883,0,1,2026-06-30T03:57:52.059Z,0.007959396125727014
Nothing ,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,839812403536,6,3,137,25,1,1.3667895250984046,1,5,2026-06-30T02:48:08.425Z,1.23573674191213
Words visit from his friend who played with my daughter present rv another friend ,1,Just did,1,Woke me up,Just w as,Body buzzing after beeps,4,4,4,4,3,4,2,2,2,2,2,139662433656,2,4,91,22,0,0.24962931166941515,1,5,2026-06-30T02:20:40.221Z,0.2029076967508777
I heard radio chatter in my ears/head prior to recognizing I was lucid.,1,"When I heard the faint sound of voices, i bolted upright, or so I thought.  It was at that point i realized I was dreaming. ",1,I heard my own voice saying I was dreaming. ,"I believe it was a cue. I realized I was dreaming,  after I heard the chatter.","No,  but I feel like in my dream, I was excited to realize I was lucid. Even telling myself to remember what happened and how. ",4,4,4,4,3,4,2,3,2,2,2,999252563296,4,3,65,2,0.35,0.36754351568767973,1,5,2026-07-01T03:32:50.279Z,0.4191564586036945
Pizza oven hot cast iron revenge woods,1,Just knew,1,Buzzing,Spontaneous ,Annoyed buzzing woke me up,4,4,4,4,2,4,2,3,1,1,1,139662433656,7,5,14,4,0.35,0.6122144764227689,0,3,2026-07-01T02:29:08.424Z,0.2965009038322627
Nothing ,0,,0,,,No ,0,0,0,0,0,0,2,1,3,2,3,839812403536,1,4,112,18,0.75,1.2605065594560696,1,5,2026-07-01T02:52:54.737Z,1.221027814754652
"Being in car with wife, bunch of clothes and some other people ",1,Looking for specific shirt in back seat too absurd.,0,,Spontaneous ,No,5,5,5,5,2,5,0,3,0,0,0,379172703886,7,6,84,10,0,0.09148672112480787,1,5,2026-07-01T01:35:05.276Z,0.007449311531217783
i remember feeling that i wasn’t sleeping very deeply. i remember having more awareness of my thoughts and the sensations in the transition to sleeping like a visual or energetic circulation or stirring,0,,0,,,just that it felt lighter than normal because i had more awareness of my thoughts and thinking ,0,0,0,0,0,0,5,5,5,5,5,189762763386,0,1,59,9,,1.7627378397874618,0,0,2026-07-01T02:24:42.499Z,1.6857194984177728
Heavy  solid sleep,0,,0,,,Difficulty sleeping ,3,3,2,3,2,2,3,4,4,4,4,579562183996,3,9,1,1,,0.6586211938201656,0,0,2026-07-01T03:52:35.809Z,0.11053599681292295
No,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,899352433976,7,3,6,1,0.09,0.9363148649340942,0,1,2026-07-01T02:39:57.781Z,1.576166973630035
I had multiple dreams again last night,0,,0,,,No,4,4,3,4,0,2,0,0,0,0,0,449582833316,5,6,33,84,1,2.82918324668029,1,5,2026-07-01T05:43:57.946Z,2.821948124533756
I’m starting to forget but sequence of events and feelings ,1,"All the time, for some reason I never thought it was real ",0,,It was spontaneous ,No,5,5,4,5,0,5,0,5,3,0,4,109422813536,1,2,47,114,1,1.4416189041126182,1,5,2026-07-02T02:35:28.077Z,1.4368892289382136
Daily activity ,1,When things felt out of sorts,1,Sounds abrupt ,Began spontaneous and then dogs barking,No,4,3,3,3,3,4,1,1,1,5,2,579562183996,6,10,35,14,1,0.1370630471486153,1,5,2026-07-02T01:00:01.586Z,0.12081788311113091
In mountains skiing ,0,,0,,,Skiing with just shoes.,5,5,5,5,3,3,0,0,0,0,0,379172703886,2,7,161,28,0.9,0.044956973650241025,1,5,2026-07-02T01:26:07.559Z,0.02839472931111056
Nothing,0,,0,,,No,0,0,0,0,0,0,3,1,4,4,4,839812403536,7,5,1,3,,2.9093306490709776,0,0,2026-07-02T03:22:02.790Z,1.768049981203807
Cats and former co workers ,0,,1,Beeping ,,No,1,1,1,1,1,1,2,3,3,1,1,989992943266,5,8,30,7,0.85,0.30018999676260544,1,5,2026-07-02T03:46:38.640Z,0.37806621342266267
nothing ,0,,0,,,no,1,1,1,1,0,1,2,1,1,1,1,389242743596,4,7,7,1,0.05,3.179258381676635,0,1,2026-07-03T02:26:41.045Z,3.3391664221209445
Long road never ending. Life.feeling weight,1,When the distance would become narrow and consistently out of reach,1,Lights along the stretch ,Sounds ,Darkness ,4,4,3,4,3,3,1,3,1,1,1,579562183996,1,11,75,8,1,0.10753010829294732,1,5,2026-07-02T23:57:27.270Z,0.10795155457036898
I think I did have a dream but dont remember it.,0,,1,I heard one beep.,,No,0,0,0,0,0,0,0,0,0,0,0,899352433976,3,5,57,8,1,0.9586829808233971,1,5,2026-07-03T02:38:45.170Z,1.050386889352438
The parts I remember were just me doing every day things.,0,,0,,,No,0,0,0,0,0,0,2,1,1,0,1,439442713976,3,4,72,18,0.05,1.3976938469572646,1,5,2026-07-03T03:38:17.815Z,1.4651344200454788
Car woofd ,1,Beep,1,Woke me wssnt dresming,No,,4,3,3,4,2,3,2,2,2,2,4,139662433656,5,7,33,3,1,0.15960272660601282,1,5,2026-07-03T02:33:27.683Z,0.16775720811467337
No,0,,0,,,,1,2,2,1,2,2,3,2,4,4,4,849692143376,0,1,21,7,,0.4410187889061236,0,0,2026-07-03T05:06:35.025Z,0.5716161167359403
Don't remember ,0,,1,Beeping ,,Annoyed by beeps ,1,1,1,1,1,1,4,4,4,1,4,989992943266,2,9,82,7,1,0.5103410333359014,1,5,2026-07-03T03:45:42.444Z,0.4644519460232209
Whole last part of the dream at chipotle getting bowls and sharing wine and water. Extremely thirsty during the dream. The dreams before that were also very intense but I don't remember them.,0,,0,,,"I woke up first qt 6am, I don't usually wake up in the middle of the night so it could be due to this.",0,0,0,0,4,0,4,4,3,4,4,989232823696,0,1,2,1,,0.031125192736692994,0,0,2026-07-03T06:50:14.821Z,0.017634859999472594
Nothing ,0,,0,,,No,0,0,0,0,0,0,1,1,2,2,2,299542783686,4,6,43,8,0.55,0.44632940754788863,1,5,2026-07-03T06:49:14.324Z,0.7708607643334436
"I did dream and they seemed vivid, I do not remember any of them.",0,,0,,,no,1,1,1,1,1,1,2,5,1,1,1,389242743596,3,8,2,4,,3.3661007339955487,0,0,2026-07-04T02:33:29.956Z,3.2254749639617146
I dreamed about looking for a bank card because of finding some unexpected money. The card was associated with this money. Much of the dream was searching for this card. I found it in a drawer when I dumped the drawer. First time I ever found anything in a dream.,1,I realized I was dreaming when I kept hearing beeps.,1,Constant beepung that kept on even when I thought I was awake ,The beeping cue,No,0,0,0,5,0,0,0,0,0,0,0,899352433976,5,6,95,8,1,0.13516867784746492,1,5,2026-07-04T02:50:17.365Z,0.12876029314980267
Nothing particular ,0,,0,,,No,1,2,2,2,1,2,0,0,0,0,0,379172703886,2,9,46,30,1,2.1829271011086253,1,5,2026-07-04T02:20:00.927Z,2.199514526483956
Darkness.  Stillness quiet ,1,"Part way through the night it felt odd. The sequence of events 
",1,Distant ,A cue ,A vibration sound,3,3,3,4,2,3,1,1,0,0,0,579562183996,2,12,14,7,0,0.2518904770469724,0,3,2026-07-04T01:48:01.907Z,0.18643540660467744
Match France v Paraguay,0,,0,,,,0,0,0,0,0,0,3,3,2,1,2,989232823696,2,2,27,3,1,0.4387129833782099,0,4,2026-07-04T06:30:37.185Z,0.9333149910939937
Anxiety my cat was missing and my truck was stolen ,0,,0,,,No,1,1,1,1,1,1,4,4,3,3,4,989992943266,3,10,170,21,0.05,0.8877992173615536,1,5,2026-07-04T03:09:23.218Z,0.959249466879478
Nothing ,0,,1,Don't remember dream,,The cues actually woke me up,0,0,0,0,0,0,1,2,1,2,2,299542783686,6,7,12,8,1,0.481116525020705,0,3,2026-07-04T07:18:59.461Z,0.2170157701496492
I was playing some king of lawn or board game.,1,"I heard many soft neeps , they stopped and then they started again.",1,Soft co tinuous beeps,The beeps,"I was able to run through the thoughts, body, feelings, breathing. I wanted to I be able to co rinse dreaming or go to a deeper sleep. I was i. Too much pain and had to go to the bathroom, so I ended up having g to get up briefly to the bathroom.",4,5,3,5,0,5,0,0,0,0,0,899352433976,1,7,61,5,1,0.31669038164991276,1,5,2026-07-05T02:24:27.043Z,0.5952692635053689
Working on kitchen counters,1,Seemed odd I'd be doing the work ,0,,Spontaneous ,Kept repeating activity ,3,3,3,3,1,3,0,0,0,0,0,379172703886,4,10,142,35,0.06,2.2527760226952966,1,5,2026-07-05T02:26:00.266Z,2.3146570718855544
"A tornado hit and my daughter and I were outside. We got under a blanket and I was holding her hand. When I woke up I was alone and everything was gone including my daughter. A lady found me, she knew me, and had me fill out paperwork for a new place.",0,,0,,,Sadness,0,0,0,0,0,0,2,1,1,1,3,299542783686,2,8,14,3,0.9,0.7060969253025342,0,2,2026-07-05T06:42:26.356Z,0.8381192911506072
No,0,,1,Annoying beeping woke me up ,,"N0
",1,1,1,1,1,1,5,4,3,2,2,989992943266,1,11,72,23,1,0.1313166692201988,1,5,2026-07-05T03:34:35.777Z,0.12804868389084695
Walking through a train station.,1,Too unrealistic.,0,,Spontaneous ,Had to get somewhere. ,4,4,4,4,3,4,0,0,0,0,0,379172703886,6,11,32,5,1,2.6797506296891784,1,5,2026-07-06T01:23:26.482Z,2.8516891451727293
N0,0,,1,Static noise,,No,1,1,1,1,1,1,3,4,2,1,4,989992943266,7,12,95,2,1,0.32631767076138474,0,4,2026-07-06T04:19:50.144Z,0.2435925285708215
Nothing,0,,0,,,No,0,0,0,0,0,0,4,4,0,0,2,899352433976,4,8,119,6,1,0.1957213774344559,1,5,2026-07-06T02:41:06.910Z,0.1643768772845884
Lightness ,1,Unreal very short times,0,,Spontaneous ,No,3,3,3,4,0,2,0,0,1,1,0,579562183996,5,14,145,42,1,0.6638568643399,1,5,2026-07-06T00:23:14.106Z,0.6166936572660575
Nothing today. ,0,,0,,,No.,0,0,0,0,0,0,0,0,0,0,0,739962763826,0,1,5,2,,0.473250829392784,0,0,2026-07-06T07:12:34.419Z,0.4014857634915863
Yes,0,,0,,,A never ending road/trail,3,3,2,3,1,3,3,3,3,3,3,579562183996,7,15,67,33,1,0.42178681835091864,1,5,2026-07-07T00:21:07.766Z,0.39151196567543745
Being in large hotel. ,0,,0,,,No,3,3,3,3,3,3,1,2,0,0,0,379172703886,3,12,196,26,1,0.22264421857991729,1,5,2026-07-07T01:21:25.990Z,0.174660722188474
Nothing,0,,0,,,No p,0,0,0,0,0,0,0,0,0,0,0,899352433976,3,9,29,21,1,0.41983555261382,1,5,2026-07-07T02:23:10.307Z,0.3593245606039971
Football team trying to get a haircut as was believe the haircut gave spiderman powers. Flying in monospace helicopter to go see a poor family iving on a roof of a house and getting roasted by the whole family.,0,,0,,,"No.
",1,1,0,1,0,1,4,2,0,3,3,989232823696,5,4,137,15,1,0.07419486786920644,1,5,2026-07-07T04:48:20.047Z,0.02589911140607452
Traveling and getting plants with my late husband ,0,,0,,,Driving in the rain,1,1,1,1,1,1,2,5,2,1,5,989992943266,0,1,71,10,,0.10770712690872501,0,0,2026-07-08T02:40:45.052Z,0.10772575676669215
I heard a repeated sound. My volume was to loud. I was startled. ,1,I was in a lightened state ,1,It was a steady beep,A result of the sound. I did wake.  I didn't follow the procedure properly. Which  waa disruptive ,Stress,3,4,3,4,2,3,4,4,4,3,3,579562183996,2,16,351,17,1,1.2945551655933487,1,5,2026-07-08T00:31:18.358Z,0.8532961686146774
Nothing ,0,,0,,,No,0,0,0,0,0,0,1,0,1,1,1,299542783686,3,10,7,1,1,0.06296649185723259,0,2,2026-07-08T06:13:30.694Z,0.037430080173014926
"I know I dreamed, but don't remember it even though I tried. There was sunshine and something about making a choice.",1,I started to hear the cue.,1,First there was a ling series of chchchchch sounds then a beep. This happened a couple of separate times.,The cue as answered previously. , I was hot. Our air conditioner is out and there is a heat wave.,3,0,2,5,0,5,0,1,1,1,0,899352433976,6,10,217,4,1,0.4984252404309596,1,5,2026-07-08T03:07:32.919Z,0.21368507641827417
"Supposed to study with a guy for a mathematics course but I end up biking to India where they have amazing caves and huge waterfall, I have to leave because I get attacked by wolves in the waterfall and then hit by spears from crazy lady. After that I decide to go to the original study place but it's the 6th floor and there are wholes everywhere so small mistake and you fall. Unrelated but horses riding across desert trying to reach Russia.",0,,1,"It was just an urgency to wake up, so I just woke up.",,,0,1,0,1,1,0,2,3,3,3,1,989232823696,4,5,90,8,0.45,0.8332556262430538,1,5,2026-07-08T05:48:38.338Z,1.211835431558434
Yes. Sequence if events . Feels,1,Assisting. Deep snow. A place I know. Does not have the consistency ,1,Intermittent.  Then steady.,Yes,It wasn't real. It was a combination of things in my life ,5,3,4,5,1,5,0,0,1,1,1,579562183996,7,17,58,3,1,2.0351394812065857,0,3,2026-07-09T00:19:01.964Z,3.068398571915779
Nothing,0,,1,Woke me up,,,1,1,1,1,1,0,3,5,4,4,4,989232823696,6,6,18,3,0.05,1.2057363236644465,0,4,2026-07-09T03:19:37.524Z,0.11061039046397113
Looking for and finding si k dog.,0,,0,,,Dog was one that use to have but wasn't. ,3,3,3,3,3,3,0,0,0,0,0,379172703886,5,14,199,38,1,0.522247781289381,1,5,2026-07-09T01:26:30.269Z,0.45632391454432325
I only remember waking up to pee a few times,0,,0,,,No,0,0,0,0,0,0,3,2,1,1,4,909232733626,1,3,7,2,0.05,1.0882822052131875,0,2,2026-07-09T03:58:19.611Z,0.26237958252674776
Nothing,0,,0,,,I was hot. ,0,0,0,0,0,0,1,1,0,0,0,899352433976,1,11,114,4,0.55,0.1450536594715129,1,5,2026-07-09T02:33:28.785Z,0.14866926558198487
Church picnic ,0,,0,,,The vast variety of food and everyone was friendly ,1,1,1,1,1,1,2,4,3,2,5,989992943266,2,2,64,8,1,0.6269862350233412,1,5,2026-07-09T03:20:27.632Z,0.7754209490573912
Feeling ,0,,0,,,Anxious ,1,1,1,0,0,1,4,4,3,2,3,579562183996,5,18,166,12,1,0.21587061249964457,1,5,2026-07-09T23:44:26.166Z,0.1745947246407919
Riding a child''s bike on city street in traffic. ,0,,0,,,What was I doing on a child's bike.,4,4,4,3,2,0,0,0,0,0,0,379172703886,7,15,95,27,0,0.20411076246991366,1,5,2026-07-10T01:30:53.979Z,0.06153965201586877
"I don't remember any of my dreams, but I know that I did dream ",0,,0,,,No,0,0,0,0,0,0,3,2,1,0,2,149342883826,0,1,41,6,,0.12402477870755994,0,0,2026-07-10T03:58:25.195Z,0.12375608052623967
Don't remember dream ,0,,0,,,Beeping woke me up ,1,1,1,1,1,1,4,5,4,3,5,989992943266,3,3,35,4,1,0.1816733956061684,1,5,2026-07-10T04:26:00.900Z,0.11552963671466586
I have no memories of dreams last night,0,,0,,,No,0,0,0,0,0,0,0,1,3,3,4,149342883826,2,2,4,1,0,0.6456967824444081,0,1,2026-07-11T03:34:52.717Z,0.10536193359074743
Thoughts ,1,Late hours. Stillnesd,0,,Spontaneous ,Winding tunnel ,3,3,2,4,2,4,2,4,1,1,2,579562183996,1,19,155,15,0.3,0.4179398080972714,1,5,2026-07-11T00:19:28.781Z,0.47808915266348473
"Driving to an office party,  arriving a d not seeing anyone familiar. ",0,,0,,,Why was I  there. ,3,2,2,2,1,2,0,0,0,3,0,379172703886,4,16,186,29,0.03,1.3581063223848022,1,5,2026-07-11T02:12:16.527Z,1.364673936491049
Nothing,0,,0,,,No,0,0,0,0,0,0,1,0,2,2,2,299542783686,1,12,33,6,1,0.1493484111258223,1,5,2026-07-11T04:39:24.633Z,0.1749860585435579
"Needing to hide things 
",0,,0,,,Secretive ,1,1,1,1,1,1,4,4,3,2,5,989992943266,7,4,103,9,0.5,0.38883895315554307,1,5,2026-07-11T03:14:08.471Z,0.7886514785241044
I remember being at a baseball game with my girlfriend. The scoreboard kept going out and it was night time. I remember trying to find her in the dark we were sitting in the grass. I felt panicked slightly ,0,,0,,,"I remember waking up feeling hot, but I have a ceiling fan going. My extremities were cold from the fan but my body was hot. ",0,0,0,0,0,0,0,0,0,0,0,149342883826,6,3,8,2,0,0.28347391755221557,0,2,2026-07-12T03:03:40.747Z,0.09793037609609956
Nothing,0,,0,,,Nothing,0,0,0,0,0,0,0,0,0,0,0,969522133156,7,2,24,3,0.45,1.7075013292904193,0,4,2026-07-12T03:57:56.404Z,0.7689060677826882
Driving to Boston via backroads with son.,0,,0,,,Peaceful ,3,3,3,3,3,1,0,0,0,0,0,379172703886,6,17,3,5,,0.4944454436670376,0,1,2026-07-12T02:36:52.764Z,0.41639922841871785
I dreamed but do not remember any of them.,0,,0,,,nothing really ,1,1,1,1,1,1,1,1,1,1,1,389242743596,7,11,5,3,0,2.25677692158219,0,1,2026-07-12T02:55:56.634Z,0.2789705965887253
Textures in the dream seemed more vivid.  I normally do not notice color but I noticed more color in my dream.,0,,0,,,No,0,0,0,0,0,0,3,1,1,0,0,429952943496,0,1,129,25,,5.9710189192464815,0,0,2026-07-12T04:16:17.439Z,6.740543500142516
Being in a yoga class ,0,,0,,,Breezes being outside,1,1,1,1,1,1,1,3,1,1,1,989992943266,5,5,14,5,0,0.20005719897903998,0,3,2026-07-12T03:07:33.928Z,0.08485851442298227
Nothing,0,,0,,,No,0,0,0,0,0,0,0,1,1,2,1,299542783686,5,13,32,7,1,2.9056474428332026,1,5,2026-07-12T05:59:42.184Z,0.6089257715699841
Just a dream before I woke up that I was back at my old retail job. ,0,,0,,,Nothing,1,1,1,1,0,0,3,2,0,0,1,539822283526,0,1,67,21,,1.1025849575817803,0,0,2026-07-12T16:42:34.480Z,1.0582685116884885
Observe two theives enter evacuated to steal sculptures.,1,Was floating above theives in their car.,0,,Floating above thieves too far fetched. ,Wondering how often theives do this.,4,3,3,5,4,3,0,0,0,0,0,379172703886,7,18,128,11,0,0.1837919312890857,1,5,2026-07-13T01:28:34.504Z,0.07402082491128571
Irritated  hearing my recording waking me ,0,,1,My recording repeated ,,Trouble going back to sleep ,1,1,1,1,1,1,4,4,4,3,5,989992943266,4,6,27,6,1,0.10828001129226537,0,4,2026-07-13T03:15:37.930Z,0.10648307062855715
I didn't dream much that I remember.  When the signal went off it woke me and my sleep was not as good after.,0,,0,,,My sleep felt very light after the signal ,0,0,0,0,0,0,1,3,1,1,3,429952943496,3,2,110,19,0.85,0.779381738142181,1,5,2026-07-13T04:01:44.985Z,0.8631319993584915
Conflict within a fraternity ,0,,0,,,"Wandering 
",1,1,1,1,1,1,1,1,1,1,1,519312273626,4,3,126,25,1,1.6461603369085593,1,5,2026-07-13T03:46:16.697Z,1.548746852929255
Fragmented dreams with many parts. Comparing dream circumstances to things in reality. ,0,,1,They woke me up a buzzing sound like moth wings and series of beeps ,,N/a,0,0,1,0,0,0,2,4,0,1,2,539822283526,0,1,67,21,,1.1025849575817803,0,0,2026-07-12T16:42:34.480Z,1.0582685116884885
Nothing,0,,0,,,Nothing,0,0,0,0,0,0,0,0,0,0,1,579402583286,0,1,162,71,,1.3684496347228035,0,0,2026-07-14T01:30:32.797Z,1.3661106520475286
Yes ,0,,0,,,Stop and go,2,2,3,2,2,3,5,4,2,2,5,579562183996,6,22,136,15,1,0.40646849782084915,1,5,2026-07-14T00:50:39.137Z,0.3907609730109136
Enjoying a gathering with fa.ily members.,0,,0,,,No,3,3,3,3,4,3,0,0,0,0,0,379172703886,3,19,51,22,1,0.16409443944132981,1,5,2026-07-14T01:24:09.125Z,0.19189841064753282
Driving through scenic areas ,0,,0,,,Anxious in traffic ,1,1,1,1,1,1,4,4,3,2,5,989992943266,1,7,79,9,0.35,0.16320222292709805,1,5,2026-07-14T03:26:12.394Z,0.18794141504663403
"I think I had something, but it already faded.",0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,969522133156,1,3,32,1,1,0.14633418441807589,0,3,2026-07-14T05:20:20.319Z,0.2556055035267188
No,0,,1,No in my dreams it woke me up,,,0,0,0,0,0,0,1,4,4,3,4,849692143376,2,2,3,1,,2.6136410426514227,0,1,2026-07-14T04:40:32.121Z,1.4216179800032924
I had to let the dog out and then forgot my dream,0,,0,,,"There was a thunderstorm last night, so my dog was anxious and it affected my sleep",1,1,1,1,1,1,3,2,1,1,1,869212593686,0,1,20,34,,1.3496428477905895,0,0,2026-07-14T03:15:07.263Z,1.3464180342477206
Nothing,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,899352433976,5,12,5,19,,4.344842010157205,0,0,2026-07-14T02:53:42.652Z,4.1817942029117665
Nothing,0,,0,,,No,0,0,0,0,0,0,4,4,0,0,4,559472613156,0,1,39,130,,1.3666524108273026,0,0,2026-07-15T00:26:04.536Z,1.3595921821717698
