"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)",lucid_state,"If so, describe when and how you realized you were dreaming",cue_notice,"If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.,"While dreaming, I often asked myself whether I was dreaming.","While dreaming, I was aware of the fact that other dream characters in my dream were not real.",You feel more restless than usual,You woke up more than usual during last night,Waking up in the morning was more difficult than usual,It took longer than usual to wake up,You felt more tired than usual when waking up,pid,Age,Gender,baseline_LD_freq,baseline_LD_freq_ord,baseline_sleep_qual,rem_episode_count,train_cap_reached_count,device_time_start,motion_80pct_cutoff_first_4h,condition,device_time_end,rem_minutes,rem_motion_avg,induction_arousal_any,induction_arousal_volume,induction_arousal_count,induction_highest_volume,total_trains_delivered,disruptive_arousal_any,disruptive_arousal_count,disruptive_arousal_volume,total_induction_cues,mean_train_duration_sec
Nothing,0,,0,,,No,0,0,0,0,0,0,0,0,3,3,3,609382353906,37.0,Male,Less than once per year,1.0,7.0,1,0,2026-06-25T04:02:45.015Z,0.2770632197538009,7.0,2026-06-25T10:30:53.288Z,5.0,0.2697592878075045,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.06,24.0,191.0
Cleaning.  Helojgvold nan race clearing out iffif3 withvrorren food er with 2vguys  willing to work elsewkere,1,Just knew.  Durected,0,,Just was,,4,4,1,4,1,4,3,4,4,4,4,139662433656,,,,,,2,0,2026-06-25T02:30:10.940Z,0.2029223119462183,1.0,2026-06-25T10:50:25.564Z,19.0,0.1805526192083692,0.0,0.4,0.0,1.0,3.0,0.0,0.0,,87.0,207.0
"I was visiting my friend will. He had some interesting pets. One was a gorilla. I was worried that it would get angry and attack me. It looks cute otherwise though. The other was too baby penguins that were shivering because we fed them ice cream. Then I remember going to a convenience store because I wanted coffee and they were done making coffee and I spoke to them in Spanish about why the coffee wasn't able to be made anymore. I also remember something about a British coworker. He and I usually don't get along. And this time, He saw me swimming in the pool and said that I looked chipper and was wondering what I've been up to. I told him I've been doing a lot of Fitness and I noticed him feeling skeptical about me and thinking that I don't do any work. I Was also helping either coworkers or my estranged sister to fix some wardrobe. Malfunctions they were having during the work day. Then I also remember talking to my neighbor Pat. Heroes telling me about some Job fair or conference at his company. But it was today and I had to work Cover bei continuier listening to him because he's bigger than me and tough. I was asking him where he goes during the winter because he goes to the cape during the summer and he wasn't really telling me much of anything. ",0,,0,,,I also was awake for a while.  This was probably because I'm still getting used to sleeping without ear plugs in my ears and it was hot so I had the fan on. I woke with an erection a few times but don't remember any sexual dreams ,0,0,0,0,0,0,3,4,2,2,3,909232733626,44.0,Male,Less than once per year,1.0,7.0,13,1,2026-06-25T02:30:22.172Z,0.2309255281028185,3.0,2026-06-25T10:48:34.859Z,51.0,0.2809926525721814,1.0,,5.0,0.08,5.0,0.0,0.0,,25.0,
I woke up once in the night for the bathroom. No dreams. ,0,,0,,,,0,0,0,0,0,0,0,0,4,0,4,389132113316,,,,,,2,0,2026-06-25T06:22:42.778Z,0.2090620763105564,7.0,2026-06-25T12:04:31.712Z,7.0,0.269112100370263,1.0,0.08,1.0,0.08,1.0,1.0,1.0,0.3100000000000001,9.0,146.0
One dream was about being in a stadium and handing out tickets.,0,,0,,,No,4,1,1,3,1,2,4,5,1,1,1,199302983846,,,,,,10,1,2026-06-25T03:55:27.247Z,0.3033851885014684,2.0,2026-06-25T12:25:51.560Z,60.0,0.2921506956067848,1.0,0.02,1.0,0.2,5.0,0.0,0.0,,19.0,129.8
"I remember as I was drifting off, I was wondering if I actually drifted yet. Not completely lucid, but semi. I",1,"I was laying down physically, then I realized I felt like I was standing up. Nothing drastic, but I was lucid in the setting of my bedroom, which was hard to tell.",0,,"Maybe it was the thought of being lucid? Idk. I was dwelling on it and then maybe that triggered it, along with the cues.",No,3,2,2,2,3,3,1,0,0,0,0,189282363536,24.0,Male,A few times per year,2.0,8.0,4,0,2026-06-25T05:37:47.083Z,0.2514318287548525,0.0,2026-06-25T12:55:54.033Z,23.0,0.169490287449508,0.0,,0.0,,0.0,0.0,0.0,,0.0,
Events,1,I knew something in my dream wasn't real.,0,,Spontaneous ,No,4,3,3,3,2,3,1,4,3,3,3,989422303806,,,,,,6,1,2026-06-25T04:28:15.736Z,0.5474366623215925,3.0,2026-06-25T13:15:13.635Z,98.0,0.3667468471760052,1.0,0.01,3.0,0.09,5.0,0.0,0.0,,32.0,
Normal everyday life dreams,0,,1,I was awake or in light sleep so it woke me.,,No,0,0,0,0,0,0,0,0,0,0,0,719202523406,40.0,Female,A few times per year,2.0,6.0,5,1,2026-06-25T06:25:03.889Z,0.8762454262823024,2.0,2026-06-25T13:31:34.423Z,52.0,0.6954800772689846,1.0,,3.0,1.0,5.0,0.0,0.0,,58.0,153.8
I had one dream that I very vaguely remember and was not lucid at all,0,,0,,,No,1,1,1,2,1,1,4,1,2,1,2,729422983146,,,,,,7,1,2026-06-25T06:46:50.996Z,0.2878119540161067,4.0,2026-06-25T14:55:58.332Z,111.0,0.3207305909777287,1.0,0.35,3.0,0.35,5.0,0.0,0.0,,50.0,149.0
No,0,,0,,,No,0,0,0,1,0,0,1,0,2,1,1,489412463416,45.0,Female,A few times per year,2.0,6.0,11,1,2026-06-25T06:25:09.334Z,1.087209747859189,1.0,2026-06-25T15:47:37.773Z,50.0,0.6995351634342418,1.0,0.1,2.0,1.0,5.0,1.0,4.0,0.6,126.0,195.2
